"","OBJECTID","CLASS_ID","Flight","UFID","dist","nnid","Nesting","coords.x1","coords.x2","optional"
"1",1,0,"F1_","F1_1",0.405738644664132,"F4_818",1,285241.098,4426055.6865,TRUE
"2",2,0,"F1_","F1_2",0.151591544058661,"F4_2",1,285240.2213,4426055.6754,TRUE
"3",3,0,"F1_","F1_3",0.160932278488848,"F4_819",1,285239.371,4426055.0284,TRUE
"4",4,0,"F1_","F1_4",0.227138823458166,"F4_0",1,285241.5535,4426054.7975,TRUE
"5",5,0,"F1_","F1_5",0.223458046465858,"F4_817",1,285240.4553,4426054.6673,TRUE
"6",6,0,"F1_","F1_6",0.0903877604479181,"F4_3",1,285238.3373,4426054.5375,TRUE
"7",7,0,"F1_","F1_7",0.0999015333531266,"F4_816",1,285242.3525,4426054.2191,TRUE
"8",8,0,"F1_","F1_8",0.122560231402656,"F4_4",1,285237.6749,4426054.2101,TRUE
"9",9,0,"F1_","F1_9",0.143834451477049,"F4_1",1,285243.4852,4426053.5759,TRUE
"10",10,0,"F1_","F1_10",0.0235267363220943,"F4_820",1,285241.0293,4426053.4873,TRUE
"11",11,0,"F1_","F1_11",0.345533514773529,"F4_822",1,285237.6957,4426053.1634,TRUE
"12",12,0,"F1_","F1_12",0.20060343799619,"F4_821",1,285238.3722,4426052.2135,TRUE
"13",13,0,"F1_","F1_13",0.086885183163856,"F4_5",1,285239.0638,4426051.3832,TRUE
"14",14,0,"F1_","F1_14",0.309569235352424,"F4_6",1,285239.8119,4426050.8115,TRUE
"15",15,0,"F1_","F1_15",0.257631773997065,"F4_7",1,285250.8465,4426038.9144,TRUE
"16",16,0,"F1_","F1_16",0.241942780865868,"F4_8",1,285251.6667,4426038.2037,TRUE
"17",17,0,"F1_","F1_17",0.0863778219665237,"F4_26",1,285253.2266,4426037.5534,TRUE
"18",18,0,"F1_","F1_18",0.477969708717351,"F4_785",1,285251.7622,4426036.8705,TRUE
"19",19,0,"F1_","F1_19",0.0870727372910803,"F4_784",1,285252.8958,4426036.525,TRUE
"20",20,0,"F1_","F1_20",0.0738774384209996,"F4_786",1,285251.1874,4426036.4038,TRUE
"21",21,0,"F1_","F1_21",0.0812583285786246,"F4_783",1,285255.4191,4426036.0749,TRUE
"22",22,0,"F1_","F1_22",0.124903367099064,"F4_29",1,285257.511,4426035.7492,TRUE
"23",23,0,"F1_","F1_23",0.0856125392343448,"F4_815",1,285244.9687,4426047.2059,TRUE
"24",24,0,"F1_","F1_24",0.160739804870406,"F4_9",1,285243.6193,4426047.1419,TRUE
"25",25,0,"F1_","F1_25",0.114858403969092,"F4_10",1,285241.5486,4426046.9749,TRUE
"26",26,0,"F1_","F1_26",0.111174320326748,"F4_11",1,285246.0983,4426046.9274,TRUE
"27",27,0,"F1_","F1_27",0.172410793035138,"F4_12",1,285242.5335,4426046.7241,TRUE
"28",28,0,"F1_","F1_28",0.319326916704297,"F4_13",1,285245.1391,4426046.0536,TRUE
"29",29,0,"F1_","F1_29",0.0725217460392849,"F4_14",1,285243.9807,4426046.0892,TRUE
"30",30,0,"F1_","F1_30",0.162880277966951,"F4_15",1,285240.4137,4426045.8098,TRUE
"31",31,0,"F1_","F1_31",0.22677761648269,"F4_17",1,285242.9683,4426045.7435,TRUE
"32",32,0,"F1_","F1_32",0.215456998487557,"F4_16",1,285246.4119,4426045.674,TRUE
"33",33,0,"F1_","F1_33",0.110777225063041,"F4_813",1,285241.3038,4426045.5999,TRUE
"34",34,0,"F1_","F1_34",1.01155073387148,"F4_813",0,285242.3108,4426045.1656,TRUE
"35",35,0,"F1_","F1_35",0.335227060686249,"F4_814",1,285243.7302,4426044.8954,TRUE
"36",36,0,"F1_","F1_36",0.0665945293655114,"F4_18",1,285243.0337,4426044.175,TRUE
"37",37,0,"F1_","F1_37",0.0292646865945782,"F4_800",1,285245.7845,4426043.7857,TRUE
"38",38,0,"F1_","F1_38",0.273355798934251,"F4_801",1,285244.7152,4426043.6459,TRUE
"39",39,0,"F1_","F1_39",0.135097608738508,"F4_19",1,285243.7156,4426043.7306,TRUE
"40",40,0,"F1_","F1_40",0.260825844420537,"F4_799",1,285245.7072,4426042.7582,TRUE
"41",41,0,"F1_","F1_41",0.222109606247472,"F4_20",1,285244.3297,4426042.7016,TRUE
"42",42,0,"F1_","F1_42",0.0380611398239568,"F4_21",1,285243.0123,4426041.0374,TRUE
"43",43,0,"F1_","F1_43",0.324419051416714,"F4_796",1,285244.1063,4426040.8035,TRUE
"44",44,0,"F1_","F1_44",0.305323259882168,"F4_797",1,285245.6962,4426040.3713,TRUE
"45",45,0,"F1_","F1_45",0.100535676419383,"F4_22",1,285244.7912,4426040.0711,TRUE
"46",46,0,"F1_","F1_46",0.143700197849268,"F4_794",1,285245.0611,4426039.2432,TRUE
"47",47,0,"F1_","F1_47",0.345415520096294,"F4_23",1,285247.5475,4426039.0163,TRUE
"48",48,0,"F1_","F1_48",0.110264495676191,"F4_24",1,285248.1613,4426038.5482,TRUE
"49",49,0,"F1_","F1_49",0.22995606955128,"F4_793",1,285247.0268,4426038.2141,TRUE
"50",50,0,"F1_","F1_50",0.0731098407494587,"F4_30",1,285245.5801,4426038.1547,TRUE
"51",51,0,"F1_","F1_51",0.168963111416545,"F4_25",1,285250.05,4426038.0822,TRUE
"52",52,0,"F1_","F1_52",0.119610626604811,"F4_31",1,285248.9097,4426037.3262,TRUE
"53",53,0,"F1_","F1_53",0.159248965095693,"F4_32",1,285246.2198,4426037.5119,TRUE
"54",54,0,"F1_","F1_54",0.303727317582022,"F4_27",1,285250.7176,4426037.3206,TRUE
"55",55,0,"F1_","F1_55",0.195834225681208,"F4_34",1,285244.9257,4426037.0661,TRUE
"56",56,0,"F1_","F1_56",0.233873639934776,"F4_792",1,285244.2037,4426037.0469,TRUE
"57",57,0,"F1_","F1_57",0.237977336795273,"F4_33",1,285247.0178,4426037.0871,TRUE
"58",58,0,"F1_","F1_58",0.319806811589895,"F4_787",1,285249.7271,4426036.5735,TRUE
"59",59,0,"F1_","F1_59",0.0872640413637702,"F4_35",1,285248.8702,4426036.4546,TRUE
"60",60,0,"F1_","F1_60",0.325410647210152,"F4_36",1,285247.5944,4426036.3813,TRUE
"61",61,0,"F1_","F1_61",0.266360134042624,"F4_791",1,285245.3961,4426035.874,TRUE
"62",62,0,"F1_","F1_62",0.294811203415481,"F4_790",1,285246.8644,4426035.8991,TRUE
"63",63,0,"F1_","F1_63",0.24936288192566,"F4_37",1,285249.403,4426035.5366,TRUE
"64",64,0,"F1_","F1_64",0.17455948125167,"F4_789",1,285247.4478,4426035.2538,TRUE
"65",65,0,"F1_","F1_65",0.16826906057706,"F4_39",1,285245.2687,4426034.7673,TRUE
"66",66,0,"F1_","F1_66",0.362306671304886,"F4_38",1,285248.7055,4426034.8902,TRUE
"67",67,0,"F1_","F1_67",0.197025485835495,"F4_41",1,285295.9792,4426023.9754,TRUE
"68",68,0,"F1_","F1_68",0.107125717093932,"F4_757",1,285292.6666,4426023.6241,TRUE
"69",69,0,"F1_","F1_69",0.209934348687259,"F4_761",1,285293.7435,4426022.7471,TRUE
"70",70,0,"F1_","F1_70",0.0497720330323222,"F4_42",1,285295.7137,4426022.7392,TRUE
"71",71,0,"F1_","F1_71",0.251752178742394,"F4_43",1,285294.6016,4426022.0428,TRUE
"72",72,0,"F1_","F1_72",0.122409958638873,"F4_758",1,285292.7003,4426021.3372,TRUE
"73",73,0,"F1_","F1_73",0.0749303054261043,"F4_762",1,285294.6924,4426020.8021,TRUE
"74",74,0,"F1_","F1_74",0.138113741794137,"F4_44",1,285289.4955,4426027.7762,TRUE
"75",75,0,"F1_","F1_75",0.116353705650574,"F4_769",1,285287.8034,4426026.9719,TRUE
"76",76,0,"F1_","F1_76",0.151733191928139,"F4_764",1,285290.9202,4426026.2733,TRUE
"77",77,0,"F1_","F1_77",0.0842243964676828,"F4_45",1,285289.1183,4426025.8868,TRUE
"78",78,0,"F1_","F1_78",0.245130118582999,"F4_768",1,285288.3032,4426025.8863,TRUE
"79",79,0,"F1_","F1_79",0.0383443735233924,"F4_53",1,285283.5495,4426025.6044,TRUE
"80",80,0,"F1_","F1_80",0.285761417933377,"F4_55",1,285284.9111,4426025.6041,TRUE
"81",81,0,"F1_","F1_81",0.130399450469779,"F4_54",1,285281.0897,4426025.4672,TRUE
"82",82,0,"F1_","F1_82",0.116056536594931,"F4_765",1,285290.1471,4426025.2872,TRUE
"83",83,0,"F1_","F1_83",0.230698082850788,"F4_772",1,285285.577,4426025.0805,TRUE
"84",84,0,"F1_","F1_84",0.173193885748968,"F4_767",1,285288.5896,4426024.9781,TRUE
"85",85,0,"F1_","F1_85",0.122581709871816,"F4_766",1,285289.504,4426024.5534,TRUE
"86",86,0,"F1_","F1_86",0.054645962952143,"F4_56",1,285282.3658,4426024.6349,TRUE
"87",87,0,"F1_","F1_87",0.217867579726994,"F4_771",1,285286.9609,4426024.2523,TRUE
"88",88,0,"F1_","F1_88",0.236180133421871,"F4_773",1,285281.1358,4426024.1873,TRUE
"89",89,0,"F1_","F1_89",0.0513414324592261,"F4_746",1,285284.4019,4426024.0636,TRUE
"90",90,0,"F1_","F1_90",0.17951915127834,"F4_57",1,285279.9189,4426023.8522,TRUE
"91",91,0,"F1_","F1_91",0.183617807186676,"F4_756",1,285291.0171,4426023.8438,TRUE
"92",92,0,"F1_","F1_92",0.0633359286619751,"F4_58",1,285283.0326,4426023.5251,TRUE
"93",93,0,"F1_","F1_93",0.0734313482294284,"F4_47",1,285291.8144,4426023.1691,TRUE
"94",94,0,"F1_","F1_94",0.253458506079438,"F4_46",1,285290.499,4426023.2045,TRUE
"95",95,0,"F1_","F1_95",0.888550914094944,"F4_48",0,285287.1122,4426023.0981,TRUE
"96",96,0,"F1_","F1_96",0.300753393705541,"F4_59",1,285281.4948,4426023.2635,TRUE
"97",97,0,"F1_","F1_97",0.096592348593133,"F4_60",1,285284.7684,4426022.9781,TRUE
"98",98,0,"F1_","F1_98",0.145215167893783,"F4_48",1,285286.1084,4426022.8647,TRUE
"99",99,0,"F1_","F1_99",0.142261862181103,"F4_744",1,285280.4448,4426022.8736,TRUE
"100",100,0,"F1_","F1_100",0.0917373610106904,"F4_827",1,285292.1738,4426022.3944,TRUE
"101",101,0,"F1_","F1_101",0.239469762595202,"F4_747",1,285284.0084,4426022.4368,TRUE
"102",102,0,"F1_","F1_102",0.0102172000148697,"F4_745",1,285282.2682,4426022.312,TRUE
"103",103,0,"F1_","F1_103",0.0521016962845169,"F4_62",1,285285.3132,4426022.2588,TRUE
"104",104,0,"F1_","F1_104",0.224804969415989,"F4_61",1,285283.1843,4426022.1465,TRUE
"105",105,0,"F1_","F1_105",0.0967522636746198,"F4_755",1,285290.2298,4426022.0714,TRUE
"106",106,0,"F1_","F1_106",0.203008878923846,"F4_749",1,285286.7524,4426021.7822,TRUE
"107",107,0,"F1_","F1_107",0.157987542416778,"F4_750",1,285288.1042,4426021.8462,TRUE
"108",108,0,"F1_","F1_108",0.132926758479996,"F4_754",1,285291.0205,4426021.6445,TRUE
"109",109,0,"F1_","F1_109",0.197115980670113,"F4_742",1,285280.7531,4426021.8585,TRUE
"110",110,0,"F1_","F1_110",0.144172993265101,"F4_65",1,285281.6317,4426021.5173,TRUE
"111",111,0,"F1_","F1_111",0.094661249076676,"F4_49",1,285285.8042,4426021.2828,TRUE
"112",112,0,"F1_","F1_112",0.179264294310022,"F4_66",1,285279.3729,4426021.1913,TRUE
"113",113,0,"F1_","F1_113",0.806870630802376,"F4_50",0,285290.2175,4426021.2795,TRUE
"114",114,0,"F1_","F1_114",0.253100493644503,"F4_50",1,285289.3659,4426021.0783,TRUE
"115",115,0,"F1_","F1_115",0.0749354900445096,"F4_743",1,285280.4399,4426020.8067,TRUE
"116",116,0,"F1_","F1_116",0.207167300250111,"F4_748",1,285283.4524,4426020.7015,TRUE
"117",117,0,"F1_","F1_117",0.249252136464764,"F4_68",1,285275.0104,4426023.7908,TRUE
"118",118,0,"F1_","F1_118",0.233550509225715,"F4_69",1,285273.9202,4426023.7139,TRUE
"119",119,0,"F1_","F1_119",0.148933989833716,"F4_70",1,285275.8856,4426023.2308,TRUE
"120",120,0,"F1_","F1_120",0.256690490991757,"F4_739",1,285268.2363,4426022.8457,TRUE
"121",121,0,"F1_","F1_121",0.107364814343001,"F4_71",1,285272.437,4426022.8033,TRUE
"122",122,0,"F1_","F1_122",0.094770779614103,"F4_88",1,285266.3859,4426022.7818,TRUE
"123",123,0,"F1_","F1_123",0.249872585036998,"F4_72",1,285273.2121,4426022.7073,TRUE
"124",124,0,"F1_","F1_124",0.0783217649735163,"F4_73",1,285276.155,4426022.5176,TRUE
"125",125,0,"F1_","F1_125",0.138345145782055,"F4_74",1,285275.0968,4426022.0603,TRUE
"126",126,0,"F1_","F1_126",0.163205659491299,"F4_738",1,285267.4967,4426022.012,TRUE
"127",127,0,"F1_","F1_127",0.150543743300905,"F4_93",1,285265.4038,4426022.0537,TRUE
"128",128,0,"F1_","F1_128",0.212251902431842,"F4_740",1,285273.3253,4426021.8004,TRUE
"129",129,0,"F1_","F1_129",0.181943588014196,"F4_63",1,285277.0017,4426021.7824,TRUE
"130",130,0,"F1_","F1_130",0.208704849168902,"F4_75",1,285270.6105,4426021.8304,TRUE
"131",131,0,"F1_","F1_131",0.166691772160485,"F4_64",1,285278.4322,4426021.5105,TRUE
"132",132,0,"F1_","F1_132",0.346918159130385,"F4_76",1,285268.4027,4426021.3746,TRUE
"133",133,0,"F1_","F1_133",0.154583510390031,"F4_96",1,285267.206,4426021.1621,TRUE
"134",134,0,"F1_","F1_134",0.375178088040299,"F4_77",1,285274.4819,4426021.2822,TRUE
"135",135,0,"F1_","F1_135",0.130683673843083,"F4_78",1,285269.5234,4426021.0356,TRUE
"136",136,0,"F1_","F1_136",0.136360990450219,"F4_80",1,285273.5424,4426020.8102,TRUE
"137",137,0,"F1_","F1_137",0.303753411074159,"F4_97",1,285265.1233,4426020.8905,TRUE
"138",138,0,"F1_","F1_138",0.158723797746374,"F4_79",1,285272.29,4426020.9476,TRUE
"139",139,0,"F1_","F1_139",0.116311500396639,"F4_782",1,285258.1858,4426029.0531,TRUE
"140",140,0,"F1_","F1_140",0.204924065705986,"F4_98",1,285256.537,4426028.9179,TRUE
"141",141,0,"F1_","F1_141",0.0830133070073333,"F4_99",1,285257.2377,4426027.9325,TRUE
"142",142,0,"F1_","F1_142",0.568670963046254,"F4_100",0,285258.449,4426027.84,TRUE
"143",143,0,"F1_","F1_143",0.434063545339811,"F4_82",1,285259.6563,4426027.5914,TRUE
"144",144,0,"F1_","F1_144",0.136474752782488,"F4_778",1,285260.8215,4426027.4564,TRUE
"145",145,0,"F1_","F1_145",0.0894730400712995,"F4_100",1,285258.4426,4426027.207,TRUE
"146",146,0,"F1_","F1_146",0.166093747364949,"F4_776",1,285257.2411,4426026.9385,TRUE
"147",147,0,"F1_","F1_147",0.181498616680659,"F4_777",1,285259.3934,4426026.9342,TRUE
"148",148,0,"F1_","F1_148",0.0447705889009035,"F4_101",1,285255.7671,4426026.7802,TRUE
"149",149,0,"F1_","F1_149",0.228075067212811,"F4_102",1,285256.8491,4426026.1935,TRUE
"150",150,0,"F1_","F1_150",0.193420015710338,"F4_775",1,285257.8476,4426025.9444,TRUE
"151",151,0,"F1_","F1_151",0.200142979081925,"F4_774",1,285258.8095,4426025.8456,TRUE
"152",152,0,"F1_","F1_152",0.231873032026685,"F4_104",1,285255.2659,4426025.4764,TRUE
"153",153,0,"F1_","F1_153",0.078313359000355,"F4_105",1,285257.4335,4426024.9482,TRUE
"154",154,0,"F1_","F1_154",0.118677477509469,"F4_83",1,285259.4812,4426024.9527,TRUE
"155",155,0,"F1_","F1_155",0.197145801229316,"F4_106",1,285254.8135,4426024.6187,TRUE
"156",156,0,"F1_","F1_156",0.288754167812506,"F4_84",1,285260.1903,4426024.5503,TRUE
"157",157,0,"F1_","F1_157",0.118230717678171,"F4_85",1,285259.4059,4426023.875,TRUE
"158",158,0,"F1_","F1_158",0.185016621131324,"F4_86",1,285263.4097,4426023.7262,TRUE
"159",159,0,"F1_","F1_159",0.281760005099619,"F4_107",1,285257.4229,4426023.7654,TRUE
"160",160,0,"F1_","F1_160",0.0694192631184016,"F4_108",1,285255.2675,4426023.6342,TRUE
"161",161,0,"F1_","F1_161",0.183874817158799,"F4_731",1,285253.2471,4426023.5727,TRUE
"162",162,0,"F1_","F1_162",0.0794007297983991,"F4_734",1,285260.2231,4426023.0715,TRUE
"163",163,0,"F1_","F1_163",0.119647478469709,"F4_109",1,285256.9297,4426023.1331,TRUE
"164",164,0,"F1_","F1_164",0.116343092747354,"F4_732",1,285253.9357,4426023.0016,TRUE
"165",165,0,"F1_","F1_165",0.280581421009879,"F4_87",1,285264.4948,4426022.8417,TRUE
"166",166,0,"F1_","F1_166",0.175844053060814,"F4_111",1,285256.0601,4426022.6381,TRUE
"167",167,0,"F1_","F1_167",0.238677284156965,"F4_112",1,285252.5858,4426022.7031,TRUE
"168",168,0,"F1_","F1_168",0.231942456835102,"F4_110",1,285258.1083,4426022.6735,TRUE
"169",169,0,"F1_","F1_169",0.130565020167639,"F4_89",1,285262.4166,4426022.579,TRUE
"170",170,0,"F1_","F1_170",0.131729174326358,"F4_91",1,285261.1561,4426022.3569,TRUE
"171",171,0,"F1_","F1_171",0.152689669401512,"F4_92",1,285263.5817,4426022.3243,TRUE
"172",172,0,"F1_","F1_172",0.286935614845818,"F4_812",1,285259.6757,4426021.9931,TRUE
"173",173,0,"F1_","F1_173",0.146081951248791,"F4_114",1,285257.1822,4426021.8951,TRUE
"174",174,0,"F1_","F1_174",0.298737663508719,"F4_113",1,285253.7399,4426021.9477,TRUE
"175",175,0,"F1_","F1_175",0.198892612770899,"F4_115",1,285252.3971,4426021.7382,TRUE
"176",176,0,"F1_","F1_176",0.133124478452886,"F4_94",1,285264.2167,4426021.6645,TRUE
"177",177,0,"F1_","F1_177",0.12613103384564,"F4_116",1,285255.3147,4426021.4616,TRUE
"178",178,0,"F1_","F1_178",0.154286375209559,"F4_95",1,285262.9446,4426021.3903,TRUE
"179",179,0,"F1_","F1_179",0.223050385431892,"F4_118",1,285256.3789,4426021.1774,TRUE
"180",180,0,"F1_","F1_180",0.12922561580533,"F4_119",1,285258.119,4426021.0942,TRUE
"181",181,0,"F1_","F1_181",0.366530015098293,"F4_735",1,285260.4055,4426021.0729,TRUE
"182",182,0,"F1_","F1_182",0.177778307663295,"F4_733",1,285253.3669,4426021.1421,TRUE
"183",183,0,"F1_","F1_183",0.0460073635742029,"F4_120",1,285251.4418,4426020.6756,TRUE
"184",184,0,"F1_","F1_184",0.169503931270293,"F4_40",1,285245.4648,4426033.701,TRUE
"185",185,0,"F1_","F1_185",0.114911868948171,"F4_123",1,285246.4268,4426027.2836,TRUE
"186",186,0,"F1_","F1_186",0.121707414823615,"F4_780",1,285247.959,4426027.2141,TRUE
"187",187,0,"F1_","F1_187",0.157973656784731,"F4_781",1,285245.7291,4426026.6854,TRUE
"188",188,0,"F1_","F1_188",0.0953137384000947,"F4_124",1,285248.9291,4426026.6322,TRUE
"189",189,0,"F1_","F1_189",0.361917518994655,"F4_779",1,285247.0254,4426026.501,TRUE
"190",190,0,"F1_","F1_190",0.142183352026009,"F4_125",1,285246.3554,4426026.0701,TRUE
"191",191,0,"F1_","F1_191",0.240115733931713,"F4_126",1,285242.069,4426025.7273,TRUE
"192",192,0,"F1_","F1_192",0.232341181499461,"F4_127",1,285240.8012,4426025.4826,TRUE
"193",193,0,"F1_","F1_193",0.180242536572086,"F4_103",1,285249.6221,4426025.6576,TRUE
"194",194,0,"F1_","F1_194",0.304986085044241,"F4_128",1,285244.0933,4426025.4554,TRUE
"195",195,0,"F1_","F1_195",0.10893837235773,"F4_130",1,285246.8111,4426025.116,TRUE
"196",196,0,"F1_","F1_196",0.172060475073682,"F4_129",1,285245.2348,4426024.9749,TRUE
"197",197,0,"F1_","F1_197",0.204907731341419,"F4_131",1,285241.4669,4426025.0404,TRUE
"198",198,0,"F1_","F1_198",0.186199578753068,"F4_729",1,285249.2493,4426024.7948,TRUE
"199",199,0,"F1_","F1_199",0.274182629853492,"F4_132",1,285242.7723,4426024.6483,TRUE
"200",200,0,"F1_","F1_200",0.108593793026799,"F4_133",1,285243.1833,4426024.0944,TRUE
"201",201,0,"F1_","F1_201",0.248723893312404,"F4_134",1,285246.7538,4426023.7916,TRUE
"202",202,0,"F1_","F1_202",0.0557110119722465,"F4_135",1,285249.1077,4426023.6101,TRUE
"203",203,0,"F1_","F1_203",0.12595634191163,"F4_137",1,285247.6982,4426023.0655,TRUE
"204",204,0,"F1_","F1_204",0.102681262850234,"F4_138",1,285243.6648,4426022.9276,TRUE
"205",205,0,"F1_","F1_205",0.257800401217007,"F4_136",1,285241.79,4426023.0641,TRUE
"206",206,0,"F1_","F1_206",0.161600864765449,"F4_727",1,285242.7556,4426022.3152,TRUE
"207",207,0,"F1_","F1_207",0.111273791409366,"F4_725",1,285240.8861,4426022.2043,TRUE
"208",208,0,"F1_","F1_208",0.135946401835414,"F4_726",1,285241.834,4426021.7648,TRUE
"209",209,0,"F1_","F1_209",0.186504889308928,"F4_117",1,285249.906,4426021.6722,TRUE
"210",210,0,"F1_","F1_210",0.271377336140985,"F4_139",1,285244.7742,4426021.3458,TRUE
